COUNTRY,CITY,CUSTOMER,SN,WZPROBE,FLAGDATE,FLAGA,FLAGB,FLAGC
"TURKEY","ISTANBUL","FSM EGITIM VE ARASTIRM","ISR52725","2.1",10/25/2019 11:47:22 AM,"NO","NO","YES"
"CHINA","???","??????","ISR50648","1.1",10/25/2019 10:26:54 AM,"NO","NO","YES"
"CHINA","???","???????????? ?????????","ISR55423","1.3",10/25/2019 9:51:19 AM,"NO","NO","YES"
"JAPAN","???","JA??????","ISR07967","2.1",10/25/2019 10:39:40 AM,"NO","NO","YES"
"TURKEY","ISTANBUL","KARTAL LUTFI KIRDAR EG","ISR07052","2.1",10/25/2019 12:01:08 PM,"NO","NO","YES"
"CHINA","???","??????????(???????????","ISR53938","2.1",10/25/2019 9:56:00 AM,"NO","NO","YES"
"RUSSIA","Surgut","CLIN. CENTRE OF PERINA","ISR05294","2.3",10/25/2019 11:06:07 AM,"YES","NO","NO"
"CHINA","???","???????????? ?????????","ISR07940","2.1",10/25/2019 12:12:19 PM,"NO","NO","YES"
"BRAZIL","Sorocaba","DB Medicina Diagnostic","ISR60895","1.2",10/25/2019 10:36:50 AM,"NO","NO","YES"
"SWITZERLAND","OLTEN","KANTONSSPITAL OLTEN","ISR05836","1.2",10/25/2019 4:00:55 PM,"YES","NO","NO"
"CHINA","???","?????????","ISR55427","2.1",10/25/2019 9:40:02 AM,"NO","NO","YES"
"JAPAN","???","?????????","I1SR04000","1.2",10/25/2019 11:25:53 AM,"NO","NO","YES"
"TAIWAN","???","????","ISR02500","1.1",10/25/2019 3:10:59 PM,"NO","NO","YES"
"USA","CHINO HILLS","CHINO HILLS REGIONAL L","ISR55239","2.1",10/25/2019 12:05:55 AM,"NO","NO","YES"
"CHINA","???","??????????","ISR50176","2.1",10/25/2019 10:37:57 AM,"NO","NO","YES"
"CHINA","???","???????????????","ISR55094","1.1",10/25/2019 9:02:38 AM,"NO","NO","YES"
"TAIWAN","null","WU-FUN CHEN CHING","ISR61158","2.2",10/25/2019 6:01:06 PM,"NO","NO","YES"
"CHINA","??","?????????????","ISR52869","2.3",10/25/2019 8:48:00 AM,"YES","NO","NO"
"CHINA","??","????????????","ISR54591","2.1",10/25/2019 12:24:05 PM,"NO","NO","YES"
"FRANCE","LES MUREAUX","BIOLAB 78","ISR03608","2.1",10/25/2019 12:16:55 PM,"NO","NO","YES"
"CHINA","???","??????","ISR50648","2.1",10/25/2019 10:33:48 AM,"NO","NO","YES"
"CHINA","??","????????????","ISR53002","2.1",10/25/2019 9:53:35 AM,"NO","NO","YES"
"TURKEY","BURSA","DOC.DR.ISMAIL KARAKUYU","ISR50455","1.1",10/25/2019 11:32:10 AM,"NO","NO","YES"
"SPAIN","SALAMANCA","EUROFINS HOSPITAL SANT","ISR03355","1.2",10/25/2019 2:51:28 PM,"NO","NO","YES"
"ARGENTINA","BUENOS AIRES","LABORATORIO BRANDSEN S","ISR08036","2.1",10/25/2019 11:30:47 AM,"NO","NO","YES"
"CHINA","???","??????????????","ISR52142","1.1",10/25/2019 9:29:37 AM,"NO","NO","YES"
"POLAND","NOWY SACZ","DIAGNOSTYKA LABORATORI","ISR05112","2.1",10/25/2019 11:08:15 AM,"NO","NO","YES"
"CHINA","??","??????????","ISR62385","1.1",10/25/2019 12:28:39 AM,"NO","NO","YES"
"TURKEY","BURSA","EDREMIT DEVLET HASTANE","ISR02125","1.1",10/25/2019 2:49:58 PM,"NO","NO","YES"
"ITALY","LATINA","LABORATORIO ANALISI LA","ISR54245","1.2",10/25/2019 7:59:28 AM,"YES","NO","NO"
"FRANCE","MURET","SITE DE MURET","ISR50277","2.1",10/25/2019 11:58:40 AM,"NO","NO","YES"
"CHINA","???","???????(?:?????????)","ISR07308","1.1",10/25/2019 9:13:07 AM,"NO","NO","YES"
"TURKEY","ISTANBUL","FSM EGITIM VE ARASTIRM","ISR50296","1.1",10/25/2019 7:31:34 PM,"NO","NO","YES"
"ROMANIA","BUCURESTI","AMINA SPECIALITY MEDIC","ISR50658","1.1",10/25/2019 2:04:47 PM,"NO","NO","YES"
"CHINA","???","??????????????","ISR61076","2.2",10/25/2019 10:29:47 AM,"NO","NO","YES"
"CHINA","???","????????????","ISR62381","2.1",10/25/2019 9:41:55 AM,"NO","NO","YES"
"TURKEY","BURSA","ULUDAG UNIV.SAG.UYG.VE","ISR61896","2.1",10/25/2019 11:08:02 AM,"NO","NO","YES"
"CHINA","???","?????????????","ISR63190","2.1",10/25/2019 11:02:36 AM,"NO","NO","YES"
"CHINA","???","??????","ISR55127","2.3",10/25/2019 7:59:27 AM,"YES","NO","NO"
"CHINA","??","??????","ISR50702","2.1",10/25/2019 9:13:14 AM,"NO","NO","YES"
"TAIWAN","??????","??????","ISR03895","1.1",10/25/2019 2:42:59 PM,"NO","NO","YES"
"CHINA","???","?????????????","ISR62043","2.1",10/25/2019 9:43:16 AM,"NO","NO","YES"
"UK","WEST BROMWICH","SANDWELL HOSPITAL","ISR50789","2.1",10/25/2019 3:42:44 PM,"NO","NO","YES"
"ITALY","LATINA","LABORATORIO ANALISI LA","ISR54245","1.3",10/25/2019 8:01:07 AM,"YES","NO","NO"
"JAPAN","???","???????","ISR52983","1.1",10/25/2019 10:25:06 AM,"NO","NO","YES"
"CHINA","??","????????????","ISR54126","2.1",10/25/2019 10:01:25 AM,"NO","NO","YES"
"ROMANIA","BUCURESTI","S.C. MEDLIFE","ISR55206","1.1",10/25/2019 3:04:26 PM,"NO","NO","YES"
"TURKEY","ISTANBUL","FSM EGITIM VE ARASTIRM","ISR52789","2.2",10/25/2019 12:25:41 PM,"NO","NO","YES"
"CHINA","??","????????????? ???????","ISR51892","1.1",10/25/2019 10:30:29 AM,"NO","NO","YES"
"SOUTH KOREA","?????","?????????????","ISR03711","1.1",10/25/2019 7:57:07 AM,"NO","NO","YES"
"BRAZIL","RIBEIRAO PRETO - SP","FUND HEMOC RIB PRETO -","ISR50633","1.3",10/25/2019 9:03:46 AM,"YES","NO","NO"
"CHINA","???","???????????????????","ISR51834","2.1",10/25/2019 9:42:55 AM,"NO","NO","YES"
"JAPAN","???","??????????·???","I1SR51744","1.3",10/25/2019 12:16:32 PM,"NO","NO","YES"
"CHINA","???","???????????? ?????????","ISR60533","1.3",10/25/2019 10:59:29 AM,"NO","NO","YES"
"CHINA","???","????????","ISR51245","2.2",10/25/2019 7:50:41 AM,"NO","NO","YES"
"BRAZIL","CURITIBA - PR","HEMEPAR","ISR52063","2.1",10/25/2019 9:52:28 AM,"NO","NO","YES"
"CHINA","????","???????????","ISR51922","1.2",10/25/2019 8:36:00 AM,"NO","YES","NO"
"TURKEY","ISTANBUL","FSM EGITIM VE ARASTIRM","ISR50280","1.3",10/25/2019 1:54:45 PM,"NO","NO","YES"
"CHINA","???","????????","I1SR51040","1.3",10/25/2019 9:56:43 AM,"NO","NO","YES"
"UK","BRIDGE RD,LONDON","VIAPATH NUTRISTASIS UN","ISR03045","2.1",10/25/2019 11:16:32 AM,"NO","NO","YES"
"CHINA","???","??????????????","ISR60521","2.1",10/25/2019 9:13:00 AM,"NO","NO","YES"
"USA","PITTSBURGH","VA MEDICAL CENTER WARE","ISR62609","2.1",10/25/2019 2:29:54 PM,"NO","NO","YES"
"USA","CLINTON","LAURENS MEMORIAL HOSPI","I1SR56465","1.1",10/25/2019 1:44:59 AM,"NO","NO","YES"
"CHINA","???","????????","ISR52639","1.1",10/25/2019 10:43:03 AM,"NO","NO","YES"
"CHINA","???","??????????","I1SR53280","1.1",10/25/2019 9:05:59 AM,"NO","NO","YES"
"UK","LONDON","VIAPATH SERVICES LLP","ISR04255","2.1",10/25/2019 12:00:44 PM,"NO","NO","YES"
"RUSSIA","Moskva","INVITRO IMS","ISR54348","1.1",10/25/2019 12:10:44 AM,"NO","NO","YES"
"MALAYSIA","Shah Alam","B.P. CLINICAL LAB S/B","ISR04126","2.1",10/25/2019 6:14:35 PM,"NO","NO","YES"
"SPAIN","TOLEDO","COMPLEJO HOSPITALARIO ","ISR02333","2.1",10/25/2019 9:34:55 AM,"NO","NO","YES"
"BRAZIL","GOIANIA - GO","LABORATORIO NUCLEO DE ","ISR07832","1.1",10/25/2019 12:01:30 PM,"NO","NO","YES"
"CZECH REPUBLIC","Praha 5-Motol","FN Motol","ISR60012","2.1",10/25/2019 8:12:09 AM,"YES","NO","NO"
"CHINA","???","??????????","ISR55089","2.1",10/25/2019 1:12:45 PM,"NO","NO","YES"
"CHINA","???","??????????","ISR60174","2.1",10/25/2019 8:15:09 AM,"NO","NO","YES"
