PL_SN_MAP_ID,IOM_SN,MESSAGE,PL,SN,UPLOAD_DATE
59,ABT107,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT107,08/05/2019
60,ABT108,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT108,08/05/2019
61,ABT109,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT109,08/05/2019
62,ABT110,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT110,08/05/2019
63,ABT111,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT111,08/05/2019
64,ABT112,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT112,08/05/2019
65,ABT113,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT113,08/05/2019
66,ABT114,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT114,08/05/2019
67,ABT116,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT116,08/05/2019
68,ABT117,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT117,08/05/2019
69,ABT118,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT118,08/05/2019
70,ABT119,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT119,08/05/2019
71,ABT120,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT120,08/05/2019
72,ABT121,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT121,08/05/2019
73,ABT123,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT123,08/05/2019
74,ABT124,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT124,08/05/2019
75,ABT125,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT125,08/05/2019
76,ABT126,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT126,08/05/2019
77,ABT127,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT127,08/05/2019
78,ABT128,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT128,08/05/2019
79,ABT129,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT129,08/05/2019
80,ABT130,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT130,08/05/2019
81,ABT131,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT131,08/05/2019
82,ABT132,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT132,08/05/2019
83,ABT133,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT133,08/05/2019
84,ABT134,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT134,08/05/2019
85,ABT135,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT135,08/05/2019
86,ABT136,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT136,08/05/2019
87,ABT137,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT137,08/05/2019
