dx table,max time
dx_214_lldnoise,2018-09-20
dx_214_messagehistory,2019-03-10
dx_214_mndhistory,2019-03-10
dx_214_mndrecorddata,2018-09-20
dx_214_navigateservicedata,2019-02-25
dx_214_opticsrawdata,2018-09-20
dx_214_oshealthmonitoringdata,2019-02-25
dx_214_pipettorsyringebacklashdata,2018-09-20
dx_214_pmrawdata,2018-09-20
dx_214_reagentcoolerdata,2018-09-20
dx_214_reagentoperation,2019-03-10
dx_214_result,2019-03-10
dx_214_scripting,2018-09-20
dx_214_teknicmotor,2019-03-10
dx_214_temperaturedata,2018-10-23
dx_214_vacuumpressuredata,2018-09-20
dx_214_wambulkdata,2018-09-20
dx_214_wamdata,2018-09-20
dx_205_messagehistory,2019-03-10
dx_205_pmevent,2019-03-10
dx_205_result,2019-03-10
dx_210_result,2019-03-10
dx_214_pmevent,2018-09-20
