ALGORITHM_NAME,PHM_PATTERNS_SK,PARAMETER_NAME,PARAMETER_VALUE
Alinity IA Vacuum Pump,11111,IHN_LEVEL3_DESC,AIinity IA Vacuum Pump
Alinity IA Vacuum Pump,11111,VACUUMPUMP_STATENAME,VerifyVacuum
Alinity IA Vacuum Pump,11111,VACUUMPUMP_MINADC,2160
Alinity IA Vacuum Pump,11111,VACUUMPUMP_NUMEVALS,30
Alinity IA Vacuum Pump,11111,THRESHOLDS_COUNT,1
Alinity IA Vacuum Pump,11111,THRESHOLD_DESCRIPTION,AIinity IA Vacuum Pump

