PHN_PATTERNS_SK,PL,SN,FLAG_DATE,CHART_DATA_VALUE,FLAG_YN,IHN_LEVEL3_DESC
20313,205,AI01302,20190424140240,1,1,
20313,205,AI01305,20190424,,0,
