table,maxdate,mindata
dx.dx_205_reagentoperation,2019-02-13,2017-05-24
dx.dx_205_scripting,2019-02-13,2017-05-24
dx.dx_205_teknicmotor,2019-02-13,2017-05-24
dx.dx_205_temperaturedata,2019-02-13,2017-05-24
dx.dx_205_vacuumpressuredata,2019-02-13,2017-05-24
dx.dx_205_wambulkdata,2019-02-13,2017-09-11
dx.dx_205_wamdata,2019-03-10,2017-05-24
dx.dx_210_assayactivity,2018-02-14,2017-05-31
dx.dx_210_assayactivitycc,2019-02-13,2017-05-24
dx.dx_210_calcurve,2019-02-13,2017-05-24
dx.dx_210_calibrationresultcompletion,2019-02-13,2017-05-24
dx.dx_210_ccaspirationpm,2019-02-13,2017-05-24
dx.dx_210_ccbulksolutionconsumeddata,2019-02-13,2017-05-24
dx.dx_210_ccbulksolutionmonitordata,2019-02-13,2017-05-25
dx.dx_210_ccbulksolutionusagestatusdata,2019-02-13,2018-08-13
dx.dx_210_cccuvettewashwatervolumedata,2019-02-13,2017-05-24
dx.dx_210_ccdispensepm,2019-03-10,2017-05-24
dx.dx_210_cclampmonitordata,2019-02-13,2017-05-24
dx.dx_210_ccopticsadjusttriggersensordata,2019-02-13,2017-05-24
dx.dx_210_ccphotodata,2019-02-13,2017-05-24
dx.dx_210_ccpipettorpmrawdata,2018-11-08,2017-05-24
dx.dx_210_ccreagentaspirationotherdata,2018-11-08,2017-05-24
dx.dx_210_ccreagentaspirationpcidata,2018-11-08,2017-05-24
dx.dx_210_ccreagentcarouselcoolertemperaturedata,2019-02-13,2017-05-24
dx.dx_210_ccreagentcarouselteknicmotordata,2019-02-13,2017-05-24
dx.dx_210_ccreagentdispenseotherdata,2018-11-08,2017-05-24
dx.dx_210_ccreagentdispensepcidata,2018-11-08,2017-05-24
dx.dx_210_ccreagentwashotherdata,2018-11-08,2017-05-24
dx.dx_210_ccreagentwashpcidata,2018-11-08,2017-05-24
dx.dx_210_ccsampleaspirationotherdata,2018-11-08,2017-05-24
dx.dx_210_ccsampleaspirationpcidata,2018-11-08,2017-05-24
dx.dx_210_ccsampledispenseotherdata,2018-11-08,2017-05-24
dx.dx_210_ccsampledispensepcidata,2018-02-21,2017-08-03
dx.dx_210_ccsamplewashotherdata,2018-11-08,2017-05-24
dx.dx_210_ccsamplewashpcidata,2018-11-08,2017-05-24
dx.dx_210_ccwashpm,2019-02-13T10:59:59.503,00:01:16.0
dx.dx_210_ccwaterbathrefilldata,2019-02-13,2017-05-24
dx.dx_210_constituentdata,2019-02-13,2018-11-07
dx.dx_210_experimentprocessing,2019-02-12,2017-05-24
dx.dx_210_heaterdutycycledata,2018-08-31,2017-05-24
dx.dx_210_iarm,2018-07-24,2017-05-24
dx.dx_210_icbmotormove,2018-12-31,2017-05-24
dx.dx_210_instrumentactivity,2019-02-13,2017-05-24
dx.dx_210_itvdata,2018-07-25,2017-05-24
dx.dx_210_lld,2018-07-23,2017-05-24
dx.dx_210_lldcc,2019-02-13,2017-05-26
dx.dx_210_messagehistory,2019-03-10,2016-12-12
dx.dx_210_mndhistory,2019-02-13,2017-05-24
dx.dx_210_mndrecorddata,2019-02-13,2017-05-24
dx.dx_210_navigateservicedata,2018-10-16,2018-08-24
dx.dx_210_opticsrawdata,2018-07-25,2017-05-24
dx.dx_210_oshealthmonitoringdata,2018-10-16,2018-08-16
dx.dx_210_pmevent,2018-07-24,2017-05-24
dx.dx_210_pmrawdata,2018-07-25,2017-05-24
dx.dx_210_reagentoperation,2018-10-24,2017-05-24
dx.dx_210_scripting,2019-02-13,2017-05-24
dx.dx_210_teknicmotor,2018-10-24,2017-05-24
dx.dx_210_temperaturedata,2018-10-16,2017-05-24
dx.dx_210_vacuumpressuredata,2018-07-25,2017-05-24
dx.dx_210_wambulkdata,2018-04-20,2017-09-11
dx.dx_210_wamdata,2017-09-30,2017-05-24
dx.dx_214_assayactivity,2018-07-04,2017-06-26
dx.dx_214_assayactivitycc,2018-09-13,2017-09-11
dx.dx_214_calcurve,2018-07-16,2017-09-30
dx.dx_214_calibrationresultcompletion,2018-07-16,2018-01-26
dx.dx_214_ccaspirationpm,2018-07-10,2018-05-14
dx.dx_214_ccbulksolutionconsumeddata,2018-07-10,2017-09-30
dx.dx_214_ccbulksolutionmonitordata,2018-07-09,2018-07-09
dx.dx_214_cccuvettewashwatervolumedata,2018-07-01,2017-09-30
dx.dx_214_ccdispensepm,2018-07-12,2018-04-20
dx.dx_214_cclampmonitordata,2018-07-10,2018-05-14
dx.dx_214_ccopticsadjusttriggersensordata,2018-07-10,2018-02-28
dx.dx_214_ccphotodata,2018-07-14,2018-05-08
dx.dx_214_ccpipettorpmrawdata,2019-03-10,2017-07-25
dx.dx_214_ccreagentaspirationotherdata,2019-03-10,2017-07-25
dx.dx_214_ccreagentaspirationpcidata,2019-03-10,2017-07-25
dx.dx_214_ccreagentcarouselcoolertemperaturedata,2018-07-10,2017-09-30
dx.dx_214_ccreagentcarouselteknicmotordata,2018-07-10,2017-09-30
dx.dx_214_ccreagentdispenseotherdata,2019-03-10,2017-07-25
dx.dx_214_ccreagentdispensepcidata,2019-03-10,2017-07-25
dx.dx_214_ccreagentwashotherdata,2019-03-10,2017-07-25
dx.dx_214_ccreagentwashpcidata,2019-03-10,2017-07-25
dx.dx_214_ccsampleaspirationotherdata,2019-03-10,2017-07-25
dx.dx_214_ccsampleaspirationpcidata,2019-03-10,2017-07-25
dx.dx_214_ccsampledispenseotherdata,2019-03-10,2017-07-25
dx.dx_214_ccsampledispensepcidata,2019-03-10,2017-11-09
dx.dx_214_ccsamplewashotherdata,2019-03-10,2017-07-25
dx.dx_214_ccsamplewashpcidata,2019-03-10,2017-07-25
dx.dx_214_ccwashpm,2018-07-10,2018-05-14
dx.dx_214_ccwaterbathrefilldata,2018-07-09,2017-09-30
dx.dx_214_constituentdata,2019-03-10,2018-11-05
dx.dx_214_experimentprocessing,2019-03-10,2017-05-24
dx.dx_214_heaterdutycycledata,2018-10-23,2017-06-08
dx.dx_214_iarm,2018-09-20,2017-06-08
dx.dx_214_icbmotormove,2019-03-10,2017-06-08
dx.dx_214_instrumentactivity,2019-03-10,2017-05-26
dx.dx_214_itvdata,2018-09-20,2017-06-08
dx.dx_214_lld,2018-09-20,2017-06-08
dx.dx_214_lldcc,2018-07-10,2017-09-30
dx.dx_214_lldnoise,2018-09-20,2018-09-19
dx.dx_214_messagehistory,2019-03-10,2016-10-10
dx.dx_214_mndhistory,2019-03-10,2017-05-24
dx.dx_214_mndrecorddata,2018-09-20,2017-06-08
dx.dx_214_navigateservicedata,2019-02-25,2018-08-01
dx.dx_214_opticsrawdata,2018-09-20,2017-06-08
dx.dx_214_oshealthmonitoringdata,2019-02-25,2018-08-01
dx.dx_214_pipettorsyringebacklashdata,2018-09-20,2018-09-19
dx.dx_214_pmrawdata,2018-09-20,2017-06-08
dx.dx_214_reagentcoolerdata,2018-09-20,2018-09-19
dx.dx_214_reagentoperation,2019-03-10,2017-06-08
dx.dx_214_result,2019-03-10,2017-05-24
dx.dx_214_scripting,2018-09-20,2017-06-08
dx.dx_214_teknicmotor,2019-03-10,2017-06-08
dx.dx_214_temperaturedata,2018-10-23,2017-06-08
dx.dx_214_vacuumpressuredata,2018-09-20,2017-06-08
dx.dx_214_wambulkdata,2018-09-20,2017-09-30
dx.dx_214_wamdata,2018-09-20,2017-06-08
dx.dx_640_alinity_m_ampdetect,2019-05-15,2019-02-22
dx.dx_640_alinity_m_ampdetectcontaminationdata,2019-05-15,2019-02-25
dx.dx_640_alinity_m_calcurve,2019-05-10,2019-02-26
dx.dx_640_alinity_m_internalcontrolbaselineddata,2019-05-15,2019-02-22
dx.dx_640_alinity_m_internalcontrolmaxratiodata,2019-05-15,2019-02-22
dx.dx_640_alinity_m_internalcontrolnormalizeddata,2019-05-15,2019-02-22
dx.dx_640_alinity_m_internalcontrolreferencedata,2019-05-15,2019-02-22
dx.dx_640_alinity_m_internalcontrolsignaldata,2019-05-15,2019-02-22
dx.dx_640_alinity_m_messagehistory,2019-05-16,2019-02-22
dx.dx_640_alinity_m_mndhistory,2019-05-15,2019-02-22
dx.dx_640_alinity_m_mndrecorddata,2019-05-15,2019-02-22
dx.dx_640_alinity_m_reagentoperation,2019-05-15,2019-02-22
dx.dx_640_alinity_m_result,2019-05-15,2019-02-22
dx.dx_640_alinity_m_resultinternalcontrol,2019-05-15,2019-02-22
dx.dx_640_alinity_m_resulttargets,2019-05-15,2019-02-22
dx.dx_640_alinity_m_scripting,2019-05-15,2019-02-22
dx.dx_640_alinity_m_targetanalysisbaselineddata,2019-05-15,2019-02-22
dx.dx_640_alinity_m_targetanalysisnormalizeddata,2019-05-15,2019-02-22
dx.dx_640_alinity_m_targetanalysisreferencedata,2019-05-15,2019-02-22
dx.dx_640_alinity_m_targetanalysissignaldata,2019-05-15,2019-02-22
dx.dx_205_messagehistory,2019-03-10,2016-12-04
dx.dx_205_pmevent,2019-03-10,2017-05-24
dx.dx_205_result,2019-03-10,2017-05-24
dx.dx_210_result,2019-03-10,2017-05-24
dx.dx_214_pmevent,2018-09-20,2017-06-08
