"icq.tbls","results"
ICQ_WAMBULKDATAREADS,NULL
ICQ_CCSAMPLEWASHOTHER,list(MAX_DATE = "2019-05-24 06:18:35.627", CNT_MODSN = 28, CNT_SYSSN = 629)
ICQ_CCSAMPLEDISPCI,list(MAX_DATE = "2019-05-24 06:18:50.29", CNT_MODSN = 26, CNT_SYSSN = 622)
ICQ_CCSAMPLEDISOTHER,list(MAX_DATE = "2019-05-24 06:18:50.29", CNT_MODSN = 26, CNT_SYSSN = 622)
ICQ_CCSAMPLEASPPCI,list(MAX_DATE = "2019-05-24 06:18:49.057", CNT_MODSN = 20, CNT_SYSSN = 618)
ICQ_CCSAMPLEASPOTHER,list(MAX_DATE = "2019-05-24 06:18:49.057", CNT_MODSN = 23, CNT_SYSSN = 618)
ICQ_CCREAGTCARSLTEKNICMTR,list(MAX_DATE = "2019-05-24 06:17:20.987", CNT_MODSN = 812, CNT_SYSSN = 681)
ICQ_CCREAGTCARSLCOOLRTEMP,list(MAX_DATE = "2019-05-24 06:17:21", CNT_MODSN = 812, CNT_SYSSN = 681)
ICQ_CCREAGENTWASHPCI,list(MAX_DATE = "2019-05-24 06:18:52.457", CNT_MODSN = 33, CNT_SYSSN = 629)
ICQ_CCREAGENTWASHOTHER,list(MAX_DATE = "2019-05-24 06:18:52.457", CNT_MODSN = 35, CNT_SYSSN = 629)
ICQ_CCREAGENTDISPCI,list(MAX_DATE = "2019-05-24 06:18:52.067", CNT_MODSN = 27, CNT_SYSSN = 622)
ICQ_CCREAGENTDISOTHER,list(MAX_DATE = "2019-05-24 06:18:52.067", CNT_MODSN = 25, CNT_SYSSN = 622)
ICQ_CCREAGENTASPPCI,list(MAX_DATE = "2019-05-24 06:18:52.817", CNT_MODSN = 26, CNT_SYSSN = 622)
ICQ_CCREAGENTASPOTHER,list(MAX_DATE = "2019-05-24 06:18:52.817", CNT_MODSN = 27, CNT_SYSSN = 622)
ICQ_CCPIPETTORPMRAWREADS,NULL
ICQ_CCPIPETTORPMRAWDATA,list(MAX_DATE = "2019-05-24 06:18:52.983", CNT_MODSN = 26, CNT_SYSSN = 629)
ICQ_CCPHOTODATA,list(MAX_DATE = "2019-05-24 06:18:52.86", CNT_MODSN = 777, CNT_SYSSN = 654)
ICQ_CCOPTICSADJTRIGSENSOR,list(MAX_DATE = "2019-05-24 06:17:24.247", CNT_MODSN = 786, CNT_SYSSN = 664)
ICQ_CCLAMPMONITORDATA,list(MAX_DATE = "2019-05-24 06:18:52.417", CNT_MODSN = 763, CNT_SYSSN = 647)
ICQ_CCDISPENSEPM,list(MAX_DATE = "2019-05-24 06:18:52.073", CNT_MODSN = 765, CNT_SYSSN = 647)
ICQ_CCCUVETTEWASHWATERVOL,list(MAX_DATE = "2019-05-24 02:37:20.577", CNT_MODSN = 806, CNT_SYSSN = 676)
ICQ_CCBULKSOLUTIONMON,list(MAX_DATE = "2019-05-24 06:18:49.747", CNT_MODSN = 712, CNT_SYSSN = 613)
ICQ_CCBULKSOLUTIONCONSUMED,list(MAX_DATE = "2019-05-24 06:18:52.947", CNT_MODSN = 818, CNT_SYSSN = 681)
ICQ_CCASSAYACTIVITY,list(MAX_DATE = "2019-05-24 06:18:52.907", CNT_MODSN = 816, CNT_SYSSN = 678)
ICQ_CCASPIRATIONPM,list(MAX_DATE = "2019-05-24 06:18:52.823", CNT_MODSN = 764, CNT_SYSSN = 647)
ICQ_CALIBRATIONRESULTCOMP,list(MAX_DATE = "2019-05-24 08:02:23.053", CNT_MODSN = 2128, CNT_SYSSN = 1364)
ICQ_CALCURVE,list(MAX_DATE = "2019-05-24 04:52:45.073", CNT_MODSN = 2122, CNT_SYSSN = 1362)
ICQ_BULKSOLSTATUS,list(MAX_DATE = "2019-05-24 06:08:48.993", CNT_MODSN = 793, CNT_SYSSN = 670)
