Persons,2019-01-23T23:09:47.030392,57,3
Vehicles,2019-01-23T23:09:47.033430,55,5
Persons,2019-01-23T23:09:47.266268,58,3
Vehicles,2019-01-23T23:09:47.475473,56,5
Persons,2019-01-23T23:09:47.703912,59,4
Vehicles,2019-01-23T23:09:47.912638,57,5
Persons,2019-01-23T23:09:48.145180,60,4
Vehicles,2019-01-23T23:09:48.354744,58,5
Persons,2019-01-23T23:09:48.584916,61,4
Vehicles,2019-01-23T23:09:48.793569,59,6
Persons,2019-01-23T23:09:49.023567,62,4
Vehicles,2019-01-23T23:09:49.236177,60,6
Persons,2019-01-23T23:09:49.465273,63,4
Vehicles,2019-01-23T23:09:49.674308,61,6
Persons,2019-01-23T23:09:49.906843,64,4
Vehicles,2019-01-23T23:09:50.115772,62,6
Persons,2019-01-23T23:09:50.345456,65,4
Vehicles,2019-01-23T23:09:50.556285,63,6
Vehicles,2019-01-23T23:09:50.778615,64,6
Persons,2019-01-23T23:09:51.003139,66,4
Persons,2019-01-23T23:09:51.441482,67,4
Vehicles,2019-01-23T23:09:51.444462,65,6
Persons,2019-01-23T23:09:51.677830,68,4
Vehicles,2019-01-23T23:09:51.886517,66,6
Persons,2019-01-23T23:09:52.122401,69,4
Vehicles,2019-01-23T23:09:52.330949,67,7
Persons,2019-01-23T23:09:52.562272,70,4
Vehicles,2019-01-23T23:09:52.771285,68,7
Persons,2019-01-23T23:09:53.211964,71,5
Vehicles,2019-01-23T23:09:53.213577,69,6
Persons,2019-01-23T23:09:53.444527,72,5
Vehicles,2019-01-23T23:09:53.656055,70,6
Persons,2019-01-23T23:09:53.882418,73,5
Vehicles,2019-01-23T23:09:54.093534,71,7
Persons,2019-01-23T23:09:54.321311,74,5
Vehicles,2019-01-23T23:09:54.532646,72,5
Persons,2019-01-23T23:09:54.759001,75,5
Vehicles,2019-01-23T23:09:54.972567,73,5
Persons,2019-01-23T23:09:55.198286,76,5
Vehicles,2019-01-23T23:09:55.412191,74,4
Persons,2019-01-23T23:09:55.636885,77,5
Vehicles,2019-01-23T23:09:55.856349,75,7
Persons,2019-01-23T23:09:56.081183,78,5
Vehicles,2019-01-23T23:09:56.296718,76,5
Persons,2019-01-23T23:09:56.522148,79,5
Persons,2019-01-23T23:09:56.960444,80,5
Vehicles,2019-01-23T23:09:56.962156,77,5
Persons,2019-01-23T23:09:57.193908,81,4
Vehicles,2019-01-23T23:09:57.402970,78,5
