ColumnName,ColID,PK,IndexPos,Null,DataType,Default,Histogram,NumDistinct,NumNulls,Density,EncryptionAlg,Salt,Trigger,Virtual
"CREATED_BY",6,,,"Y","VARCHAR2 (50 Byte)",,"None",1,0,1,,,,False
"CREATED_DATE",7,,,"Y","DATE",,"None",1,0,1,,,,False
"IOM_SN",2,,"1","N","VARCHAR2 (25 Byte)",,"Frequency",115,0,3E-5,,,,False
"MESSAGE",3,,,"N","VARCHAR2 (250 Byte)",,"None",332,0,0.00301,,,,False
"PL",4,,,"N","VARCHAR2 (5 Byte)",,"None",10,0,0.1,,,,False
"PL_SN_MAP_ID",1,1,"1","N","NUMBER (38)",,"Height Balanced",19068,0,5E-5,,,,False
"SN",5,,,"N","VARCHAR2 (25 Byte)",,"None",892,0,0.00112,,,,False
"UPDATED_BY",8,,,"Y","VARCHAR2 (50 Byte)",,"None",1,0,1,,,,False
"UPDATED_DATE",9,,,"Y","DATE",,"None",1,0,1,,,,False
