ALGORITHM_NAME,PHM_PATTERNS_SK,PARAMETER_NAME,PARAMETER_VALUE
Architect WAM B,11111,IHN_LEVEL3_DESC,>=2 consecutive values < 14C in a single WZ probe in a day
Architect WAM B,11111,THRESHOLD_DESCRIPTION,>=2 consecutive values < 14C in a single WZ probe in a day
Architect WAM B,11111,THRESHOLDS_COUNT,2
Architect WAM B,11111,ERROR_CODE_VALUE,14
