COUNTRY,CITY,CUSTOMER,SN,WZPROBE,FLAGDATE,FLAGA,FLAGB,FLAGC
"CHINA","??","????????????(?????????","ISR62472","2.1",6/30/2019 12:39:03 PM,"NO","NO","YES"
"JAPAN","???","?????? ????????????","ISR63013","2.1",6/30/2019 12:34:14 PM,"NO","NO","YES"
"CHINA","???","??????????","ISR61439","1.2",6/30/2019 3:18:28 PM,"YES","NO","NO"
"TAIWAN","???","??????","ISR02829","1.1",6/30/2019 1:50:14 PM,"NO","NO","YES"
"CHINA","???","?????????????","ISR62905","2.1",6/30/2019 9:16:17 AM,"NO","NO","YES"
"THAILAND","Thailand","SURATTHANI HOSPITAL *","ISR04617","1.1",6/30/2019 11:58:55 AM,"YES","NO","NO"
"CHINA","??","????????????","ISR07690","1.1",6/30/2019 9:20:42 AM,"NO","NO","YES"
"TURKEY","LARA","OZEM MEDIKAL","I1SR01993","1.3",6/30/2019 9:03:55 AM,"YES","NO","NO"
"CHINA","?????","????????????","ISR50757","2.2",6/30/2019 1:33:23 PM,"NO","NO","YES"
"BRAZIL","SAO PAULO - SP","AFIP","ISR54821","1.1",6/30/2019 2:51:45 PM,"NO","NO","YES"
"CHINA","???","??????????? ???????","ISR54598","2.1",6/30/2019 3:33:46 PM,"NO","NO","YES"
"CHINA","???","?????????????","ISR54201","1.1",6/30/2019 11:41:20 AM,"NO","NO","YES"
"JAPAN","???","?????? ????????????","ISR63106","2.1",6/30/2019 12:31:51 PM,"NO","NO","YES"
"INDIA","PATNA","THYROCARE TECHNOLOGES ","ISR04811","1.1",6/30/2019 1:45:01 AM,"NO","NO","YES"
"CHINA","???","????????????","ISR62291","2.1",6/30/2019 10:51:01 AM,"NO","NO","YES"
"CHINA","???","????????","ISR51392","1.1",6/30/2019 8:38:28 AM,"NO","NO","YES"
"USA","SOMERS POINT","SHORE MEMORIAL HOSPITA","ISR08440","2.2",6/30/2019 1:37:11 AM,"YES","NO","NO"
"CHINA","???","???????","ISR53804","1.1",6/30/2019 10:50:40 AM,"NO","NO","YES"
"CHINA","???","?????????","ISR62867","2.1",6/30/2019 9:38:00 AM,"NO","NO","YES"
"FRANCE","BRY SUR MARNE","BIOPATH BRY","ISR07960","1.1",6/30/2019 10:59:04 AM,"NO","NO","YES"
"JAPAN","???","?????? ????????????","ISR63135","2.3",6/30/2019 12:21:07 PM,"NO","NO","YES"
"PHILIPPINES","PASIG CITY","THE MEDICAL CITY HOSPI","ISR60113","2.1",6/30/2019 1:11:19 AM,"YES","NO","NO"
"CHINA","???/027","????????????????????","ISR52621","1.1",6/30/2019 10:33:30 AM,"NO","NO","YES"
"CHINA","?????","??????????????????","ISR51786","1.2",6/30/2019 12:02:16 PM,"NO","NO","YES"
"CHINA","???","????????","I1SR51473","1.2",6/30/2019 11:59:57 AM,"NO","NO","YES"
"CHINA","???","??????????","ISR54497","2.2",6/30/2019 9:58:52 AM,"YES","NO","YES"
"CHINA","?????","?????????","ISR51947","2.1",6/30/2019 9:53:57 AM,"NO","NO","YES"
"CHINA","??","??????????","ISR52549","1.1",6/30/2019 10:28:14 AM,"NO","NO","YES"
"JAPAN","???","?????? ????????????","ISR63104","2.1",6/30/2019 12:33:10 PM,"NO","NO","YES"
"CHINA","???","????????????","ISR61468","1.3",6/30/2019 7:32:28 AM,"YES","NO","NO"
"THAILAND","Chiangmai, Thailand","Maharajnakornchiangmai","I202989","1.3",6/30/2019 11:44:26 AM,"YES","NO","NO"
"CHINA","???","??????????","ISR08327","2.1",6/30/2019 11:17:56 AM,"NO","NO","YES"
"CHINA","???","???????????","ISR02724","1.1",6/30/2019 9:55:47 AM,"NO","NO","YES"
"CHINA","???","?????????","ISR55886","2.1",6/30/2019 12:59:58 PM,"NO","NO","YES"
"CHINA","?????","?????????","ISR51229","1.1",6/30/2019 9:13:43 PM,"NO","NO","YES"
"CHINA","???","????????????","ISR53878","1.3",6/30/2019 8:04:36 AM,"YES","NO","YES"
"JAPAN","???","??????·??·??","ISR54525","2.1",6/30/2019 4:40:04 AM,"NO","NO","YES"
"CHINA","???","???????????????(??????","ISR52041","1.2",6/30/2019 8:56:07 AM,"NO","NO","YES"
"FRANCE","LILLE CEDEX","CHRU DE LILLE","ISR02105","2.2",6/30/2019 5:07:11 AM,"YES","NO","NO"
"TURKEY","ISTANBUL","MEDICAL PARK-BAHCELIEV","ISR07411","2.3",6/30/2019 12:15:24 AM,"YES","NO","NO"
"INDONESIA","JAKARTA","PMI DKI JAKARTA - KRAM","ISR52674","2.1",6/30/2019 12:41:55 AM,"NO","NO","YES"
"CHINA","?????","?????????","ISR62783","2.1",6/30/2019 10:41:39 AM,"NO","NO","YES"
"CHINA","???","????????????","I1SR60120","1.3",6/30/2019 12:56:37 PM,"NO","NO","YES"
"CHINA","??","??????","ISR53866","1.1",6/30/2019 8:25:48 AM,"NO","NO","YES"
"SOUTH KOREA","?????","????","ISR52877","2.3",6/30/2019 1:51:38 PM,"NO","NO","YES"
"JAPAN","????","?????? ????????????","ISR63415","2.2",6/30/2019 9:01:20 AM,"YES","NO","NO"
"INDIA","VISAKHAPATNAM","APOLLO HOSPITALS, VIZA","I1SR61128","1.3",6/30/2019 5:02:27 PM,"NO","NO","YES"
"JAPAN","???","?????? ????????????","ISR63135","2.1",6/30/2019 12:10:27 PM,"NO","NO","YES"
"RUSSIA","Moskva","INVITRO IMS","ISR55159","2.1",6/30/2019 5:24:53 PM,"NO","NO","YES"
"CHINA","??","???????????????","ISR54321","1.1",6/30/2019 2:02:45 AM,"NO","NO","YES"
"CHINA","???","?????????","ISR62121","2.1",6/30/2019 9:07:26 AM,"YES","NO","NO"
"THAILAND","AMPHOE MUEANG,","PITSANULOKE REGIONAL B","I202842","2.1",6/30/2019 4:16:52 PM,"NO","NO","YES"
"CHINA","??","???????????? ?????????","ISR07897","1.1",6/30/2019 10:40:07 AM,"NO","NO","YES"
"CHINA","???","???????????","ISR54796","1.1",6/30/2019 10:11:20 AM,"NO","NO","YES"
