MODULESN,PIPETTER,FLAG_DATE
"ISR55293","R2",10/17/2019 5:18:41 PM
"ISR55352","SAMP",10/18/2019 9:10:41 AM
"ISR55714","STATSAMP",10/18/2019 1:26:52 PM
"ISR55883","R1",10/18/2019 8:34:27 AM
"ISR55934","STATSAMP",10/18/2019 11:05:19 AM
"ISR56100","R1",10/17/2019 7:36:23 PM
"ISR61246","R1",10/18/2019 12:53:05 PM
"ISR61287","SAMP",10/18/2019 1:26:16 PM
"ISR61296","SAMP",10/18/2019 12:58:49 PM
"ISR62510","SAMP",10/18/2019 12:13:11 PM
"ISR63020","STATSAMP",10/18/2019 11:24:21 AM
"ISR63127","R2",10/18/2019 1:28:48 PM
"ISR63538","R2",10/18/2019 10:33:52 AM
